code;label
Fund the Veterans Support Relief Effort;Fund the Veterans Support Relief Effort
Colorado Springs Environment Fund;Colorado Springs Environment Fund
Community Development Relief for El Paso;Community Development Relief for El Paso
Children's Services Relief for Fresno;Children's Services Relief for Fresno
Restore Denver Food Security;Restore Denver Food Security
Disaster Relief Relief for Miami;Disaster Relief Relief for Miami
San Francisco Community Arts & Culture Foundation;San Francisco Community Arts & Culture Foundation
Charlotte Community Food Security Initiative;Charlotte Community Food Security Initiative
Emergency Fund for Jacksonville Civil Rights;Emergency Fund for Jacksonville Civil Rights
Minneapolis Civil Rights Program;Minneapolis Civil Rights Program
Future of Seattle Youth Development;Future of Seattle Youth Development
Restore Raleigh Animal Welfare;Restore Raleigh Animal Welfare
Food Security Relief for Albuquerque;Food Security Relief for Albuquerque
Poverty Alleviation Relief for Cleveland;Poverty Alleviation Relief for Cleveland
Religious Activities Relief for Chicago;Religious Activities Relief for Chicago
Fund the Mental Health Fund;Fund the Mental Health Fund
Jacksonville Community Education Fund;Jacksonville Community Education Fund
Los Angeles Community Children's Services Relief Effort;Los Angeles Community Children's Services Relief Effort
Annual Civil Rights Drive;Annual Civil Rights Drive
San Antonio Healthcare Program;San Antonio Healthcare Program
Emergency Fund for Seattle Veterans Support;Emergency Fund for Seattle Veterans Support
Virginia Beach Animal Welfare Campaign;Virginia Beach Animal Welfare Campaign
Portland Education Program;Portland Education Program
Build Better Houston Healthcare;Build Better Houston Healthcare
Washington DC Children's Services Project;Washington DC Children's Services Project
Children's Services Relief for Washington DC;Children's Services Relief for Washington DC
Las Vegas Community Animal Welfare Support Network;Las Vegas Community Animal Welfare Support Network
Milwaukee Housing Fund;Milwaukee Housing Fund
Fresno Research & Development Relief Effort;Fresno Research & Development Relief Effort
Emergency Fund for San Diego Healthcare;Emergency Fund for San Diego Healthcare
Arts & Culture Relief for Kansas City;Arts & Culture Relief for Kansas City
Atlanta Community Development Fund;Atlanta Community Development Fund
Denver Animal Welfare Program;Denver Animal Welfare Program
Portland Community International Aid Fund;Portland Community International Aid Fund
Emergency Fund for Environment Relief Effort;Emergency Fund for Environment Relief Effort
San Diego Healthcare Program;San Diego Healthcare Program
Community Poverty Alleviation Project;Community Poverty Alleviation Project
Arts & Culture Relief for El Paso;Arts & Culture Relief for El Paso
Miami Research & Development Foundation;Miami Research & Development Foundation
Education Relief for Denver;Education Relief for Denver
Emergency Fund for New Orleans Animal Welfare;Emergency Fund for New Orleans Animal Welfare
Indianapolis Community Animal Welfare Program;Indianapolis Community Animal Welfare Program
Indianapolis Community Youth Development Campaign;Indianapolis Community Youth Development Campaign
Restore Housing Assistance Program;Restore Housing Assistance Program
San Francisco Community Arts & Culture Relief Effort;San Francisco Community Arts & Culture Relief Effort
Support Local Jacksonville Research & Development;Support Local Jacksonville Research & Development
Annual Youth Development Relief Effort;Annual Youth Development Relief Effort
International Aid Relief for Fort Worth;International Aid Relief for Fort Worth
Emergency Arts & Culture Foundation;Emergency Arts & Culture Foundation
Emergency Fund for New Orleans Disaster Relief;Emergency Fund for New Orleans Disaster Relief
Restore Memphis Healthcare;Restore Memphis Healthcare
Annual Education Relief Effort;Annual Education Relief Effort
Future of Food Security Relief Effort;Future of Food Security Relief Effort
Housing Relief for Austin;Housing Relief for Austin
Milwaukee Community Youth Development Support Network;Milwaukee Community Youth Development Support Network
Future of Denver Religious Activities;Future of Denver Religious Activities
Research & Development Relief for Louisville;Research & Development Relief for Louisville
Charlotte Environment Fund;Charlotte Environment Fund
Rebuild Education Campaign;Rebuild Education Campaign
Community Development Relief for Los Angeles;Community Development Relief for Los Angeles
Support Local Houston Veterans Support;Support Local Houston Veterans Support
Restore Community Development Fund;Restore Community Development Fund
Environment Relief for Kansas City;Environment Relief for Kansas City
Hope for Baltimore Senior Care;Hope for Baltimore Senior Care
Philadelphia Senior Care Fund;Philadelphia Senior Care Fund
New Orleans Community Development Relief Effort;New Orleans Community Development Relief Effort
Annual New Orleans Children's Services;Annual New Orleans Children's Services
Emergency Fund for Indianapolis Food Security;Emergency Fund for Indianapolis Food Security
Animal Welfare Relief for Boston;Animal Welfare Relief for Boston
Help Build Wichita Environment;Help Build Wichita Environment
Dallas Community Arts & Culture Foundation;Dallas Community Arts & Culture Foundation
El Paso Community Civil Rights Relief Effort;El Paso Community Civil Rights Relief Effort
None;None
