code;label
NYC;New York
LAX;Los Angeles
CHI;Chicago
HOU;Houston
PHX;Phoenix
PHL;Philadelphia
SAT;San Antonio
SDG;San Diego
DAL;Dallas
SJC;San Jose
SFO;San Francisco
SEA;Seattle
MIA;Miami
ATL;Atlanta
BOS;Boston
WDC;Washington DC
DEN;Denver
LAS;Las Vegas
ORL;Orlando
AUS;Austin
MSP;Minneapolis
DTW;Detroit
CLE;Cleveland
CIN;Cincinnati
COL;Columbus
IND;Indianapolis
STL;St. Louis
KC;Kansas City
MIL;Milwaukee
MAD;Madison
GB;Green Bay
MSY;New Orleans
BTR;Baton Rouge
LFT;Lafayette
BHM;Birmingham
HSV;Huntsville
MGM;Montgomery
TPA;Tampa
JAX;Jacksonville
TLH;Tallahassee
RDU;Raleigh
CLT;Charlotte
GSO;Greensboro
CHA;Chattanooga
NSH;Nashville
MEM;Memphis
KNX;Knoxville
LEX;Lexington
LOU;Louisville
PIT;Pittsburgh
PHI;Philadelphia
HBG;Harrisburg
NYK;Yonkers
BUF;Buffalo
ROC;Rochester
ALB;Albany
NEW;Newark
JER;Jersey City
PAT;Paterson
BKN;Brooklyn
QUE;Queens
ELP;El Paso
SAT1;San Antonio
CRP;Corpus Christi
LRD;Laredo
MCA;McAllen
BRO;Brownsville
ABQ;Albuquerque
SFE;Santa Fe
BOI;Boise
IDA;Idaho Falls
SLC;Salt Lake City
PRO;Provo
OGD;Ogden
PDX;Portland
EUG;Eugene
SAL;Salem
SPK;Spokane
TAC;Tacoma
OLY;Olympia
LAK;Lakewood
IRV;Irvine
ANA;Anaheim
SBR;Santa Barbara
SMN;San Mateo
PAL;Palo Alto
MNT;Mountain View
SCL;Santa Clara
FRE;Fresno
BAK;Bakersfield
MOD;Modesto
RIV;Riverside
ONT;Ontario
RCH;Rancho Cucamonga
